Ground Camera to Satellite Center Distance Analysis
============================================================

Total samples: 33569
Valid projections: 30100
Success rate: 89.67%

Distance Statistics (pixels):
  Mean: 18.19 ± 19.23
  Median: 9.84
  Min: 0.00
  Max: 98.01

Individual Results:
  Sample 763: 29.91 pixels
  Sample 764: 2.83 pixels
  Sample 765: 6.12 pixels
  Sample 766: 3.73 pixels
  Sample 767: 7.29 pixels
  Sample 768: 2.29 pixels
  Sample 769: 29.33 pixels
  Sample 770: 27.31 pixels
  Sample 771: 3.95 pixels
  Sample 772: 41.13 pixels
  Sample 773: 4.97 pixels
  Sample 774: 16.15 pixels
  Sample 775: 43.22 pixels
  Sample 776: 19.91 pixels
  Sample 777: 1.00 pixels
  Sample 778: 11.63 pixels
  Sample 779: 65.71 pixels
  Sample 780: 19.17 pixels
  Sample 781: 47.62 pixels
  Sample 782: 21.83 pixels
  Sample 783: 62.98 pixels
  Sample 784: 15.79 pixels
  Sample 785: 18.34 pixels
  Sample 786: 61.19 pixels
  Sample 787: 2.00 pixels
  Sample 788: 19.13 pixels
  Sample 789: 23.15 pixels
  Sample 790: 18.33 pixels
  Sample 791: 39.83 pixels
  Sample 792: 15.29 pixels
  Sample 793: 7.45 pixels
  Sample 794: 7.22 pixels
  Sample 795: 12.57 pixels
  Sample 796: 11.00 pixels
  Sample 797: 62.56 pixels
  Sample 798: 26.26 pixels
  Sample 799: 27.63 pixels
  Sample 800: 62.87 pixels
  Sample 801: 12.23 pixels
  Sample 802: 61.42 pixels
  Sample 803: 46.78 pixels
  Sample 804: 21.50 pixels
  Sample 805: 13.55 pixels
  Sample 806: 2.83 pixels
  Sample 807: 44.54 pixels
  Sample 808: 34.85 pixels
  Sample 809: 18.50 pixels
  Sample 810: 12.02 pixels
  Sample 811: 50.19 pixels
  Sample 812: 9.45 pixels
  Sample 813: 29.00 pixels
  Sample 814: 8.68 pixels
  Sample 815: 7.33 pixels
  Sample 816: 10.48 pixels
  Sample 817: 38.37 pixels
  Sample 818: 8.17 pixels
  Sample 819: 5.72 pixels
  Sample 820: 21.14 pixels
  Sample 821: 42.98 pixels
